customer,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,
 BONIFACE,514.60,733.20,1260.50,824.80,1425.10,895.10,707.75,920.55,775.75,1067.00,1540.50,849.15,1273.30,1097.40,973.50,1258.05,1445.50,1173.80,1194.00,567.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3P.COCHONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.00,,,,,,,,,,,,329.00,420.00,,,,,703.50,,,,29.00,379.00,,,
99APPARTHÔ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675.40,2977.00,2790.80,2640.50,1350.65,1317.45,899.85,976.00,373.00,743.60,558.40,570.15,595.10,1786.95,858.95,1313.60,
ADMIN COM.,90.35,108.10,75.30,62.70,95.45,57.65,30.25,45.25,65.15,20.10,35.25,57.65,20.15,,106.35,67.75,68.70,80.30,50.10,21.65,53.75,36.75,103.90,128.60,38.00,10.05,79.90,42.20,10.10,77.10,12.60,42.80,26.20,87.15,104.35,31.70,63.00,127.10,34.20,,1128.50,,51.90,227.25,200.05,7.55,30.65,12.60,190.55,,64.50,82.10,744.25,,,102.25,37.75,
ADMIRAL,,,,,,,,911.65,4528.20,5070.80,5372.95,4239.70,4141.75,3794.95,3944.00,4715.45,5293.90,4929.65,5755.95,4972.00,5279.10,4449.15,5223.40,5300.90,4366.85,4887.00,6278.85,4312.45,4230.60,5860.05,4121.75,5569.80,4347.25,4296.00,4788.10,4391.60,3453.40,4205.00,4068.10,3431.25,4948.10,5000.95,5405.85,4058.15,4577.55,4515.50,4007.90,4980.45,3396.45,3810.40,3465.45,4275.70,4750.40,4864.55,4398.65,4472.10,3865.00,
AMBASSADOR,,1093.65,502.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTLAUNDRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2259.80,,,,,,,,,,,,,,,
ATHMOS,996.30,1297.05,3297.85,4881.55,4825.50,4289.45,5632.95,9617.90,3637.20,3133.50,3569.00,1553.40,3105.00,5406.05,,4897.05,4343.65,5698.10,4172.55,3519.90,5584.45,4153.35,4699.45,2572.00,2939.15,3766.00,4080.95,3472.40,5289.45,5336.05,5313.60,3219.25,5056.25,5105.10,4356.65,3617.35,2282.80,4006.90,3956.50,3762.50,5122.65,5042.35,5989.15,4269.10,5986.45,5526.00,5393.95,3223.30,2305.20,3803.25,4768.50,4044.85,5635.30,5859.30,5040.80,4790.10,6006.50,
AUB. RIVAZ,,,,1152.80,709.90,1459.95,2274.40,1479.40,2378.25,1008.60,179.55,525.70,453.60,216.00,882.70,1700.80,1178.15,2005.20,1888.10,1472.40,1376.15,1682.40,543.15,513.90,660.30,553.60,1103.20,1230.20,2623.90,1905.60,2103.40,1499.90,1802.25,1427.30,1023.50,593.95,526.20,831.80,1156.50,1533.60,2204.45,1385.80,2490.00,1594.90,808.55,2043.50,782.30,280.00,168.00,600.00,519.95,1218.50,2200.55,1814.55,2093.05,706.75,1368.70,
BALZAC,1624.35,2079.80,2422.60,1797.30,1633.75,1951.80,2683.05,4669.80,3326.70,2416.65,3245.00,3494.60,3586.25,3223.40,3047.40,2779.05,3299.30,2518.30,2415.40,1919.25,2190.75,2352.15,2052.65,2078.20,2691.75,1142.55,1847.25,2892.15,1404.90,1806.60,2261.60,2305.10,1622.70,3430.45,1339.20,2295.80,1572.15,1300.15,1650.75,1991.35,2359.45,1375.30,1935.00,2001.20,1741.85,1968.50,933.40,,,,,,,,2143.80,991.80,1991.05,
BARCAROLLE,,,,,,,,,,,,,,,,,,,,,,,,,,5707.15,5004.40,5315.65,7867.35,9332.55,11764.95,11128.80,9417.30,7348.65,4300.20,1867.90,2747.20,3602.40,4270.25,6083.70,7499.70,8516.00,10337.65,11056.55,9516.50,5971.30,5560.60,3140.55,2801.10,4063.30,4378.45,5410.35,8070.55,10729.55,12962.95,9881.35,9489.10,
BARLEMAN,,,,,,,,,,,,293.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATELIÈRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662.00,400.00,400.00,400.00,400.00,,204.30,,,669.50,332.70,612.30,665.30,495.30,-1119.00,,2272.00,400.00,400.00,400.00,400.00,407.50,439.40,400.00,,2551.30,
BEATFITNES,,,101.20,273.35,909.85,784.20,1178.15,1031.60,1002.80,1171.60,1258.40,965.90,954.90,1115.65,1438.55,1197.90,1726.95,1380.00,1361.40,1358.80,1456.50,1454.00,1308.75,871.95,1141.35,1398.20,1460.85,1112.30,1324.55,1246.80,1215.35,1435.30,985.60,1140.00,1356.55,1027.60,1168.05,1476.70,1214.70,1353.25,1361.00,964.05,1525.85,1031.15,1149.25,1245.80,1060.50,1029.50,1101.80,1156.80,1264.65,1181.60,1236.45,1199.20,1277.70,1176.40,1259.35,
BEAUSITE H,738.60,862.40,1071.60,926.30,1091.00,978.40,1145.80,1821.00,2088.20,1643.00,1773.70,773.70,1076.25,1403.80,1129.95,1735.70,2755.75,2194.20,2882.55,395.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUSITE R,1048.20,1054.40,1314.40,1021.60,1001.00,1242.40,1028.80,1040.80,833.40,826.60,1060.50,831.20,1097.05,850.00,844.85,873.95,1337.45,1064.20,1357.95,819.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELALP,346.40,239.15,265.10,193.65,421.50,128.10,361.15,433.85,497.00,151.30,197.95,202.75,213.95,,,272.40,261.85,199.80,247.95,156.00,142.10,138.85,201.35,165.00,,206.40,161.05,159.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELLEVUE,,,,,,,2102.80,852.90,725.70,301.90,238.30,166.85,184.85,614.80,382.70,675.20,944.85,663.50,1000.95,1379.55,749.40,427.90,244.80,,,,,216.95,,285.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BON-PORT,,,1008.90,3006.35,3637.50,2858.15,6552.15,5976.95,4208.20,5413.00,3173.45,3574.75,1134.20,2210.70,4484.80,3846.10,5202.35,6535.95,4214.40,,-615.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOULEVARD,820.15,410.90,704.65,166.95,,,,,,,,,1037.75,969.60,774.65,1035.10,1794.50,2090.30,2713.50,1695.05,2185.50,1837.10,1427.75,1135.30,1098.55,1801.55,973.00,988.05,1081.70,1202.00,1292.50,990.95,798.75,874.45,1113.60,898.00,964.15,1059.90,1042.35,1236.60,1500.05,1285.95,1599.70,1677.40,1569.40,1429.70,1089.25,1156.75,933.50,1006.55,1356.80,810.35,984.40,1196.60,1249.60,804.55,999.60,
BOURGEOISI,,,,,,,,,,,,,,,24.00,,340.00,198.00,242.00,195.50,73.00,315.00,288.00,154.50,102.25,149.35,162.65,163.20,236.85,319.75,355.80,204.05,271.85,223.00,182.75,78.65,246.55,135.55,198.25,162.60,168.90,202.30,177.55,379.40,204.60,108.95,225.90,162.60,130.45,125.80,128.10,106.25,235.60,,,,,
BRABECK,467.85,,600.70,,,281.40,278.15,,420.20,,408.95,490.05,,661.75,,392.65,,325.85,542.80,,,273.95,,582.75,,255.20,,,,394.20,,,,461.15,,518.50,,307.35,436.45,,380.90,433.65,,162.40,,475.65,376.65,574.65,,469.25,,391.95,,567.75,590.70,,346.55,
BRASS.LIPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7643.75,18085.10,12868.25,16839.85,
BRUSCHETTA,,163.00,,,470.60,1229.00,952.75,879.50,1354.00,1424.90,2010.65,1516.15,1227.00,1972.30,1784.40,1772.75,1689.90,1771.55,757.10,1211.65,1857.35,2391.30,2033.20,1978.45,2266.45,2282.20,2831.60,1912.25,1798.10,1703.00,812.10,1609.75,1511.45,2560.70,2280.85,2431.55,2217.80,2297.80,1645.40,1836.90,1695.10,1578.20,866.15,1097.05,1575.60,1925.85,1869.25,1771.40,1279.55,916.90,1099.10,698.85,835.90,614.00,438.00,388.70,931.80,
C.V.ILLIEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.00,35.00,78.50,35.00,57.00,51.00,7.00,28.00,92.00,14.00,,21.00,44.00,,,,,,
CAFE SUISS,,,,,162.35,1172.55,1474.65,737.15,1558.50,1457.25,1461.55,1123.70,769.40,1153.30,2009.50,1318.60,1824.60,1361.45,1324.80,810.00,1547.90,1398.40,1495.00,1552.55,573.40,1453.90,1692.55,1752.60,1706.70,2167.75,890.85,916.45,1511.05,1939.45,1528.30,1718.75,153.10,359.60,641.00,588.50,563.55,498.15,509.15,349.65,527.10,529.60,536.00,575.30,330.55,431.90,442.65,542.75,641.35,497.40,494.75,364.40,636.25,
CAPITAINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975.00,315.00,413.30,1060.35,919.90,640.95,763.20,806.95,215.65,666.80,,201.65,,554.60,322.80,1096.45,1711.55,857.00,849.20,
CARLTON HO,473.05,3052.05,4959.00,7776.15,7688.95,10592.95,11425.50,9653.60,10695.25,9847.55,13524.35,7755.00,4716.40,5531.85,10115.35,8337.50,13063.20,12313.05,11603.30,11049.50,12894.90,12329.50,10993.25,12066.75,7144.00,10447.20,13049.60,9900.10,14590.10,12024.05,13944.75,11990.10,14197.10,14584.70,11606.30,9680.25,8642.55,10344.10,9669.50,10265.05,12233.35,10938.65,14080.35,11306.05,10223.65,11900.50,10332.95,10742.25,9373.55,9229.55,9822.20,10376.35,12017.65,10091.95,13109.15,12117.00,12963.55,
CARNIVOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715.00,1513.30,972.95,370.05,
CASA LULIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817.00,1474.20,1774.85,
CASTEL EVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1798.40,1281.05,1957.60,3571.15,2829.80,4254.80,4025.15,3482.45,
CENTRE FOR,,,3347.00,6375.20,6080.25,4874.95,5438.15,8705.25,8281.45,7917.10,4135.05,1278.85,681.75,1833.65,4500.30,5380.60,3422.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH.MTPÈLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344.80,886.10,1696.20,1417.25,2895.90,3260.20,2748.30,3723.20,3702.00,3407.60,2383.60,2250.30,1749.50,1635.70,1415.40,1384.35,1489.15,2158.55,1902.50,1825.05,1523.40,2020.85,
CHAILLERY,,,,,,,,,,,,,,,,,,,146.00,616.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMOIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,1615.20,870.45,1418.20,775.25,536.90,709.15,787.05,837.25,1837.10,1825.95,2023.10,748.15,,599.45,1144.50,560.45,645.30,1133.50,964.60,715.70,1266.65,1589.10,1913.65,1929.65,629.25,505.05,581.90,284.35,229.05,1014.70,
CHARLOT M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117.30,389.80,573.20,388.15,309.85,165.35,363.55,662.35,646.85,899.50,840.25,461.10,399.80,456.30,418.45,309.55,307.70,343.30,415.95,479.55,651.95,693.85,784.20,476.20,
CHARLOT V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1777.85,1683.75,1248.70,1179.40,1424.45,1388.10,1597.95,2154.10,1814.85,2438.15,1906.40,2013.50,1808.80,1518.75,1642.00,1601.95,1339.70,1623.55,1496.00,2133.15,2026.90,2114.15,1765.80,2415.30,
CHASSEUR,,500.60,,134.20,514.55,1080.95,1525.95,1071.75,1609.15,2183.80,1959.50,2078.15,1376.30,2434.95,2332.70,1811.30,1608.00,1452.15,950.25,1211.60,1499.30,2557.30,2245.45,1689.95,1958.80,2351.05,2839.45,2193.60,1994.75,1234.90,1174.85,1391.25,1159.75,2228.35,2803.25,1566.60,1589.70,2349.05,2225.45,2056.25,2119.55,1588.20,1320.95,1228.85,1649.75,2957.85,2270.25,1830.20,1811.05,2188.05,2347.85,1977.35,2302.10,1634.75,1401.85,896.25,1757.90,
CHATEAUFOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,3422.50,4444.70,6549.60,3210.90,1630.90,5797.70,5163.65,5215.55,7854.80,8775.70,9856.55,6551.90,1548.00,4891.95,5787.20,2524.60,1792.95,5800.15,3851.30,5737.15,7825.40,8825.70,9065.80,7357.60,2606.75,3563.55,4831.55,2424.00,1620.95,5212.85,
CHATONNEYR,,,,,,,,,,,,,,,,,,,,,,,,-8060.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAUMIERE,,,,,,,,,,,,,,,,,,,,,,,,,,,1398.80,519.65,819.95,800.00,876.85,1080.35,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,
CHEVAL HOT,1814.50,1760.10,3169.65,2648.30,2975.50,4210.40,3604.45,4388.85,2772.05,1479.20,1072.90,2169.10,2337.75,2578.10,3779.75,4066.85,4194.05,2729.05,4838.15,5082.35,3627.00,4058.05,3647.25,2678.35,4396.75,3647.90,3864.05,4338.80,4477.95,4930.95,4640.20,5514.00,5161.65,5081.05,4387.30,4485.65,5203.70,3507.30,4556.00,4422.05,4879.85,4761.35,5686.70,5321.75,4602.70,4351.45,4550.90,5219.10,4852.50,1706.00,,,,,,,,
CHEVAL RES,,,,,457.00,1031.20,1180.55,321.00,1827.90,1592.30,2271.10,1330.00,1665.75,411.05,876.40,1683.70,1677.10,994.30,1042.70,615.10,846.05,1999.55,2103.35,1327.35,1920.00,1016.80,1051.40,1602.95,1763.40,617.00,946.30,292.15,1128.35,1854.10,2038.40,1637.90,1316.35,1333.80,1822.80,1348.20,1299.85,1259.10,740.40,740.15,798.40,1942.05,1600.75,1849.85,1132.75,1726.50,625.10,1746.45,1267.40,1019.45,784.65,660.35,1315.90,
CHEVALIERS,398.70,,2080.25,5164.00,5256.45,3989.05,5237.95,7309.80,5505.50,4787.75,3236.00,2099.50,2954.10,3119.55,4798.75,4057.90,5164.75,5742.95,7084.85,8447.75,6191.55,5577.70,3514.25,3800.00,1978.35,2626.40,1604.85,3886.95,5965.30,6571.05,6011.15,8483.50,6118.65,5127.85,3107.65,4158.45,3744.20,3305.95,2798.55,3503.30,5869.55,5298.60,6102.80,7848.20,5455.70,3986.30,3754.05,4134.80,2089.60,3748.45,2043.75,4953.80,5911.35,7131.65,6851.15,6987.25,6653.65,
CHEZ PAUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878.60,1365.25,1858.15,1926.70,2430.85,2133.35,1627.00,1412.05,1499.20,988.65,528.45,1238.25,1467.05,3303.85,1792.60,1914.35,2198.05,1486.50,1649.45,
CHEZMADAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659.65,485.15,575.95,271.45,302.30,220.90,430.20,798.85,574.25,399.10,384.25,337.10,230.05,230.10,345.25,148.20,,,,
COINDUBAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.00,747.60,655.80,822.60,609.60,762.00,636.00,483.00,262.80,,661.20,1006.20,798.00,1728.35,1431.30,1545.20,1854.10,1413.20,1554.80,1182.95,569.85,906.80,1869.10,
COLBRETAYE,,,,,,,,,,,,228.75,358.75,246.00,276.40,,,,,,,,171.00,146.00,324.50,360.20,205.05,,,,,,,,188.80,214.90,320.15,349.45,309.15,,,,,,,,206.50,163.55,321.90,261.00,185.05,132.25,,,,,,
COLLOMBEY,3103.30,2259.35,3929.95,2837.85,3069.15,3074.20,3744.05,2997.35,3631.30,2634.00,3536.70,2196.55,3413.85,2506.75,3989.35,3451.75,3893.40,3071.50,3514.80,4395.00,3023.70,3351.35,4200.20,3314.70,3911.50,4118.70,4506.70,3680.10,5485.15,3999.40,3872.50,4687.35,3837.95,3691.35,4509.15,3319.55,4086.55,3188.55,3237.80,4118.65,3211.00,2983.45,,,,,,,,,,,,,,,,
COMM BEX 1,-90.35,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCIAIRGE,,,421.00,,293.00,137.00,430.00,469.00,420.00,839.00,,566.00,293.00,,,312.00,527.00,352.00,742.00,595.00,312.00,332.00,293.00,264.00,,,,,,596.00,215.00,,,,,1301.00,117.00,,,,,,,,,,,,,,,,,,,,208.15,
CONTINENTA,1061.15,2851.45,4260.30,4860.40,7581.85,7602.50,8701.60,10701.75,14818.45,13112.00,13184.75,9277.95,5470.15,6760.55,9631.45,9924.55,15875.20,18500.95,14291.80,11977.00,15690.40,13689.10,15025.90,11837.95,9257.45,10508.15,13736.90,13571.90,21893.55,22570.50,24537.00,21974.05,19213.30,20624.90,19644.90,16655.90,13394.05,12520.20,15587.60,17390.35,18979.60,19657.40,22766.00,15524.90,22779.10,21647.45,15384.35,16975.00,10792.85,13339.45,13777.05,18987.60,20333.55,21767.00,23084.25,19180.40,21239.60,
COURONNE,,,,,,,,5073.95,2378.05,2285.95,4253.35,1509.60,1918.75,1644.85,2742.30,4146.50,5077.90,6489.10,5165.35,5664.75,6392.65,5030.40,4959.75,3921.35,3434.70,4141.45,2686.25,4069.95,5032.15,5884.65,5898.95,5487.30,5064.00,5612.50,3660.85,3002.75,1678.15,4610.00,3273.30,5252.80,5338.20,5487.35,5174.60,4761.90,6350.95,4743.15,3616.85,3402.70,2624.70,2982.75,3797.55,4802.10,10866.90,5863.35,5525.30,4424.40,5992.10,
CRET-BERAR,,,,,,989.20,1007.40,1905.90,2461.80,675.90,1207.10,310.50,,384.20,2022.10,1122.90,1885.40,2629.40,6312.50,-747.75,2105.60,1311.00,1431.80,524.55,1160.95,694.70,1891.90,1345.55,2009.80,3099.05,2722.90,1614.75,2364.00,1952.00,1142.85,615.10,1323.85,1296.60,1107.85,1635.35,2380.65,2593.25,3586.10,3161.65,2550.15,2133.85,500.00,1260.05,984.30,1215.20,1340.25,2068.65,2465.70,3417.05,3866.45,2984.25,2180.60,
CROIX D'OR,,,,,,,,,,,,,,,,,,,,,,,,,,1579.30,1369.15,798.60,2215.10,2197.20,1522.50,2157.30,2119.30,2046.15,1676.10,1092.50,1064.65,1749.70,1462.95,1646.90,2158.10,2184.90,1533.80,2014.75,1837.90,2028.60,1523.70,1141.20,1415.30,1999.65,2263.20,1647.90,3187.85,2705.40,2051.10,2293.50,3011.60,
CROIXVERTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036.65,306.90,271.35,619.10,622.80,322.75,331.00,507.00,357.75,386.60,719.75,926.50,956.20,906.95,443.40,628.10,
DE RIVAZ,385.50,864.65,904.15,,507.75,354.65,1252.05,1226.30,435.15,420.30,,433.40,705.25,488.15,606.25,213.15,694.25,750.05,2363.45,2104.50,1652.45,322.25,,388.50,203.75,821.95,328.60,,,1594.25,1744.95,2372.95,1241.00,347.20,764.70,396.30,405.50,1224.50,333.15,585.00,551.15,753.55,3599.60,2302.00,2353.05,486.75,,551.45,608.10,790.15,1074.85,,584.75,1297.50,2712.15,2644.30,2394.20,
DENTSMIDI,,,,,,,,,,,,,,,222.50,93.50,140.50,105.50,125.50,159.50,70.50,129.00,155.55,127.50,,82.70,119.50,70.05,163.85,103.95,93.10,149.50,101.65,63.15,173.65,139.05,80.35,71.15,86.75,121.20,56.20,185.65,67.15,94.20,,72.30,78.10,135.75,72.90,64.25,86.70,64.25,,,,,,
DIO INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1869.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVERS,926.00,252.00,,,,,297.00,,256.95,130.00,1803.00,2776.00,194.65,,,4440.95,205.70,46.75,2018.95,1000.00,2382.25,1954.50,140.25,653.45,2265.75,1311.85,311.40,2284.05,4611.00,1443.35,178.00,1380.00,428.00,553.20,3959.50,451.20,,1671.70,137.50,,268.75,4420.15,8008.50,184.15,153.50,,1414.80,439.40,182.75,,,7312.60,,3121.20,312.80,719.20,120.00,
DRAKE LONG,2265.65,2307.55,2841.40,2326.65,3004.20,2400.00,2745.70,3817.05,5261.40,5251.65,5193.95,4165.45,3006.65,3094.75,5714.55,7653.00,9439.30,11613.20,11256.85,9600.30,11489.45,9301.90,8857.60,5227.30,4499.60,4625.05,8137.40,5061.70,9056.25,7990.45,7743.70,5732.80,10516.35,8027.70,6843.75,5593.60,3995.80,5898.90,7495.70,7585.85,6675.35,9571.10,9476.60,6836.20,9164.85,8084.15,5489.80,6666.75,4477.65,6229.40,7632.85,8269.25,8723.70,9213.45,10444.25,6730.90,8474.00,
DRAKE RES,,,,,,,,,,,,,,,,,,,,,320.70,2682.80,1833.45,2067.05,2014.55,2133.45,2194.40,1953.35,2341.90,2696.75,2506.95,2185.05,2123.70,2253.85,2179.45,2460.30,2081.25,2179.25,2074.00,2352.25,2592.35,1555.35,2776.60,2300.45,2257.45,2368.60,1680.20,2332.65,2463.45,2014.10,2277.25,1713.05,2700.35,2166.95,2265.35,2063.90,2254.35,
EDEN PALAC,,,4450.30,12683.50,11699.65,11318.60,14969.20,19280.45,15563.35,10224.90,8863.60,11913.60,5855.45,6241.40,7878.85,9237.55,15875.10,17124.15,19160.15,3087.35,-876.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENANZERE,,,,,,,,,,,,,,,,,,,,,,,,,,3163.35,4007.70,1242.30,,2597.00,2675.25,4017.30,4566.15,2640.75,1646.75,1922.90,4652.80,3619.40,3709.80,740.00,1284.75,1642.60,3484.75,3867.80,4356.70,2685.55,688.70,2044.65,4141.45,5049.95,3593.55,781.50,2017.35,1861.90,3946.60,4698.10,5241.35,
ELIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73281.55,160208.30,129679.60,125674.90,112594.60,112672.40,115928.70,133737.90,164242.45,63978.60,62261.70,,56001.75,66870.05,,,
EPFL STUDI,415.60,537.60,530.40,372.40,396.80,288.40,541.20,387.60,587.60,477.20,518.00,,208.00,538.00,300.00,492.40,489.20,470.80,596.80,380.00,466.80,469.60,392.00,508.80,332.50,486.10,554.65,571.20,620.40,469.55,534.80,489.30,437.75,674.20,520.55,623.65,395.90,581.75,459.95,698.55,555.35,616.35,681.80,,,,1920.50,,,,,,,,,,,
EUROTEL MO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
