customer,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,
EUROTEL VI,10931.00,16947.20,15330.60,,,,,,,561.25,,17292.40,20543.40,17610.80,21340.95,990.20,,5674.60,1918.75,,,,,-133895.05,15869.20,20907.50,16946.20,2992.10,1859.45,12056.90,13564.75,10230.20,13797.30,,3844.20,10363.50,21299.20,20124.25,13654.90,2185.95,7776.70,12212.40,17690.35,11971.45,13456.85,9418.60,,5841.05,17814.80,20266.95,16658.60,2124.95,8550.75,15864.10,16661.75,24762.45,19404.80,
EVERNESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9940.70,10791.40,17571.00,21039.00,30662.65,34488.70,31471.90,33599.65,27526.25,
EXCELSIOR,5301.95,7592.65,7787.80,8430.40,9631.25,8206.65,9366.20,10103.00,8779.65,7061.05,7729.25,8327.00,7655.70,6711.75,7267.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAERN VALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1194.55,3276.60,3296.25,1328.40,,6455.85,6501.55,5308.70,4821.70,1175.90,19.10,3855.40,9064.45,6623.80,6836.20,2855.55,,4166.65,8377.80,7324.95,6307.35,
FAIRMONTGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9536.50,1995.10,3417.70,,,,,,,,,,,,,
FETES ET B,,,,,,132.00,24.00,389.50,671.25,,156.00,274.50,,,,555.50,380.50,211.50,,560.00,124.00,237.00,,196.50,,,90.00,36.00,995.10,419.50,477.00,230.50,372.00,258.00,256.00,251.00,85.50,57.00,,28.50,522.50,115.50,36.00,125.00,349.00,334.00,246.00,172.50,,120.00,164.50,132.00,,30.00,212.50,144.00,294.50,
FLEURDELYS,,,,,,,,1486.50,3829.90,3211.40,2673.90,2297.70,1309.65,1563.40,1861.15,1679.55,3668.50,3891.75,2747.05,2657.00,3066.20,2937.30,2466.00,1936.65,1727.10,2395.00,2251.95,1943.45,2566.55,3141.20,3188.55,2240.90,3672.35,2756.25,3015.95,2233.85,1909.15,2607.80,2578.40,2114.10,3543.20,2646.40,3147.70,2637.50,2943.65,2876.80,2711.50,2113.05,1622.25,1823.75,2030.70,1912.65,2776.65,3438.25,2653.20,2594.00,3351.50,
FRANCE,,,,,,,,,,,,,1152.15,243.35,1267.85,1829.75,2364.65,2613.15,1977.25,2285.40,2781.85,2236.35,1669.55,2091.45,1811.30,1678.85,2146.85,2219.90,3365.30,3153.40,2874.70,2320.30,2472.05,2597.20,2557.65,2373.65,1673.95,2467.55,2090.25,2063.55,3360.80,2708.50,3234.25,2302.75,3297.80,3067.85,2867.65,2318.70,1907.20,1859.20,2038.95,2104.75,2296.95,3686.95,2692.60,2873.70,3521.45,
FRANCISCAI,,,,,,,,,,,,,,,,,,,,3284.95,4797.85,4114.25,4306.65,2357.40,2524.80,3273.20,3846.80,3554.10,4611.10,6142.35,5820.05,6061.10,5413.15,4885.90,2841.65,1921.85,2217.80,3391.10,3714.90,2881.65,4020.40,4044.55,4104.15,5001.70,4346.20,4443.90,3709.45,2232.15,2235.60,3755.50,3224.20,3377.00,3820.90,4498.55,5028.50,5500.85,5013.80,
FRASERS,3333.00,2993.00,3432.05,4050.70,27615.85,6208.70,9455.25,11531.60,10298.85,8195.75,9565.55,8277.10,6359.05,1252.00,,,,,,,,,,-3661.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.WILLIAMS,1081.10,1131.25,1186.45,853.75,1456.70,837.45,670.95,1165.30,627.75,1170.25,1255.50,933.20,749.75,934.55,1035.60,1176.00,906.00,738.30,866.10,390.45,528.00,1057.20,895.20,716.75,717.00,1213.80,717.00,1027.50,1275.90,779.10,1462.20,972.30,1076.95,829.40,484.35,1467.25,1305.40,765.15,,,,,1362.50,1204.65,1175.05,1389.15,1362.70,1344.05,1222.95,1138.45,1547.05,1214.30,1469.25,1482.10,1147.25,1130.55,1131.80,
GALION,,1706.05,559.05,1289.75,2529.20,2064.45,2502.55,1941.65,2699.85,2240.15,1773.70,829.30,697.20,420.10,1965.45,1668.20,2053.55,2519.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARE,,,196.00,,,,3686.00,5930.75,3017.60,3141.25,3611.40,1515.05,363.60,1982.75,3993.20,,-240.25,96.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASTRO,855.00,920.00,927.50,195.50,,,,,1779.60,,,,,,1257.00,,,,,523.50,1295.30,432.00,,,1080.40,,1363.30,,,,,,2064.80,,,,588.20,,924.90,817.30,,,,,,,,,,,,,,,,,,
GINA,,,,,,,,2814.05,5514.25,4752.90,3981.15,2906.40,2602.40,2914.75,7121.80,2975.55,4352.30,3200.75,1548.35,2013.85,4268.20,5642.70,4916.75,2753.30,4495.70,5540.00,5313.15,4996.25,5585.80,2332.35,1699.30,1945.85,2587.95,4599.25,5004.95,3895.25,3647.20,4882.75,4522.70,4401.50,3655.25,3660.60,2201.65,752.05,3316.90,4397.75,4367.15,2901.40,3901.90,3188.65,3776.80,3035.30,3281.50,2518.20,1618.10,861.05,3570.45,
GOLDEN,,,,,,,,,,,,,,849.30,700.00,700.00,700.00,446.20,,,,792.90,840.00,276.90,206.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLF HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3765.55,5695.05,5013.75,5100.95,
GRADUATE I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.00,296.60,543.30,510.10,340.85,
GROTTO 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.00,144.00,144.00,144.00,144.00,144.00,144.00,144.00,144.00,144.00,144.00,144.00,144.00,72.00,144.00,144.00,144.00,72.00,144.00,144.00,144.00,144.00,144.00,144.00,144.00,144.00,
GRYON IMMO,,,,,,,,,,,,,,,,,,,,,,,,3756.00,,1619.90,423.60,,,423.00,629.00,,378.00,,1192.90,7333.60,729.80,1540.00,,,,,5130.45,,,,-238.50,,,,,,,,,,,
H. SEEPARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2271.35,3967.30,,6461.75,3050.90,2526.45,3830.40,1885.50,2450.90,4264.10,4753.25,5123.20,6097.35,6265.05,5508.15,
HACIENDA,384.65,505.55,1889.95,698.10,1566.10,1720.05,1882.25,2837.80,3727.65,1957.95,3094.60,1402.40,879.80,1491.05,1859.85,3182.95,3047.00,3894.25,2439.70,3469.00,4337.70,2667.40,2895.55,2588.10,1667.95,1938.55,2490.60,1981.25,5251.10,4501.90,4378.55,4966.90,5202.25,4338.05,3877.45,3058.50,2307.95,2184.75,3085.85,3382.25,6253.75,3665.95,-1031.75,,,30000.00,,,,,,,,,,,,
HAUTLAC,,,,,,,,,,,,,,,273.00,216.50,167.50,158.50,154.50,143.00,111.00,181.00,253.00,161.50,348.20,228.20,275.30,258.10,320.75,162.05,283.40,240.30,260.95,182.75,372.50,282.40,347.75,256.90,262.35,400.25,184.85,291.75,296.65,196.90,223.00,322.80,232.75,255.25,154.30,275.25,216.75,278.40,293.70,,,,,
HEINZMANN,,,,,,,,73372.55,,,,,,,,,,,114982.70,217745.15,5970.05,,,,85795.80,31785.55,20468.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52781.90,5067.55,
HELVETIA,,,,,,,,,,,,5292.30,4490.05,4299.90,3983.60,419.20,,,1552.85,2137.70,1493.80,1168.70,1313.40,983.10,4127.10,4785.95,4221.55,,,1646.65,1555.70,3025.70,1844.65,842.55,1528.80,2283.10,5461.10,4701.80,2920.30,,440.20,372.90,1665.80,2018.70,1352.15,1179.50,1284.45,1724.05,4210.65,5034.20,3337.65,707.25,1323.20,739.05,1620.40,2268.95,1533.65,
HELVETIE,3.30,,,2634.85,2268.30,7797.75,6849.10,9741.55,9489.65,5272.45,6478.05,7427.95,2751.55,4106.85,6226.50,7343.70,5987.15,9962.75,11774.50,12245.05,8625.95,6988.80,8874.15,10794.15,7281.75,7427.20,8856.45,7961.20,11012.35,15904.70,15080.35,15140.15,12390.70,15115.35,9200.95,11856.70,6788.30,6374.55,6743.25,9545.00,9644.40,10950.85,14602.25,13224.55,13799.45,12422.05,5766.50,16354.95,6846.65,5118.35,7079.00,8128.05,9435.80,10596.85,14281.40,11739.60,10437.30,
HHD BOUVER,,,,,,,,,,,,,,,,,,,,,,,,704.60,310.30,307.80,349.30,1033.00,2280.70,2825.55,1654.60,1792.10,1094.60,829.40,553.90,1154.00,1104.30,517.30,907.60,857.40,2023.90,1339.55,3178.15,2088.55,1192.05,,,601.30,,,,,,,,,,
HHD CHESIE,,,,,,,,,,,,,,,,,,,,,,,5505.30,5113.65,8111.95,14458.55,8852.00,2864.20,2178.70,5396.80,6147.35,6794.15,368.40,3697.55,322.90,6224.90,7721.60,12755.60,11625.25,677.75,9543.45,9585.80,6534.65,7265.40,2301.10,,,401.05,,,,,,,,,,
HHD SIVIEZ,,,,,,,,,,,,,,,,,,,,,,,,3031.50,3309.00,4285.30,4515.60,351.10,,,289.40,737.05,,,,3005.25,4056.00,5570.45,2964.35,245.65,,335.90,908.05,206.65,,,,,,,,,,,,,,
HHD VERBIE,,,,,,,,,,,,,,,,,,,,,,,,5208.35,6404.50,5869.25,8491.35,154.05,920.45,1733.75,3596.20,2231.15,,462.15,2624.30,4146.35,7759.05,6248.75,6844.00,1163.75,398.85,1934.35,4043.30,2269.80,422.35,,,,,,,,,,,,,
HHD ZERMAT,,,,,,,,,,,,,,,,,,,,,,,1603.65,4018.60,2844.50,2529.40,3896.60,1050.00,957.40,8453.05,1434.00,1080.10,1023.30,402.05,636.15,2928.75,2328.65,3542.25,3529.60,1964.55,1276.25,2290.25,1906.80,2325.75,979.65,,,460.00,,,,,,,,,,
HINE AD BE,3143.30,3581.35,4149.75,3201.20,2789.95,4956.05,3859.20,6239.80,6868.00,3020.20,5498.95,3913.05,3224.80,2907.50,5090.30,4532.20,4887.65,5829.30,5616.20,5659.55,5954.60,3652.75,4324.35,3966.95,3774.10,3879.15,6007.60,5281.80,7336.30,9269.00,8038.40,9143.00,7970.75,5843.55,6526.80,4618.30,5299.50,4881.80,5341.45,4934.55,7139.60,6812.25,9326.85,8950.65,,13652.05,5650.85,5439.30,3836.20,3634.05,3939.00,4694.60,5609.80,6590.80,8708.15,8459.20,6101.90,
HINE AD BU,3286.30,2341.65,4506.75,2449.30,2391.65,2860.70,4449.90,5492.60,4287.15,1960.25,1333.65,5665.55,4046.15,2338.55,4109.60,2839.70,3054.05,2422.90,4413.20,5664.50,4265.00,3356.05,2793.65,3232.00,4495.85,3241.65,3963.50,4142.75,3456.65,4881.65,4341.15,9686.70,6099.95,3227.10,1749.20,4355.35,4719.65,3234.55,4489.05,4259.20,4606.75,2298.30,6003.00,8844.35,4407.85,3676.30,1677.60,4485.15,4328.75,624.40,,,,,,,,
HINE AD FR,2822.40,2282.20,1915.70,1301.55,2002.75,2075.00,2233.15,3287.45,3283.20,2396.35,2200.40,1965.10,2453.25,1906.55,2906.00,2696.65,2670.90,3026.80,2191.90,3702.35,3488.05,3156.70,2630.10,2414.30,2978.00,2359.75,4251.55,2713.05,4267.20,4206.85,3616.65,4872.20,4104.35,4734.35,3549.65,3152.20,3338.00,3577.15,3871.70,3737.35,5589.25,3459.20,3804.05,2986.25,2686.90,2905.75,2858.00,2446.30,2993.35,1696.40,1842.05,3217.95,2784.05,3181.95,2822.85,3745.80,3623.45,
HOLIDAY IN,,,471.15,,902.50,2094.70,3258.05,6558.40,8086.95,9175.80,7034.75,8126.75,7003.15,6470.00,5530.45,,7440.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOME SWISS,877.20,995.10,1326.95,1490.05,1483.55,1833.65,1360.90,2386.95,2774.10,2336.00,3274.70,1236.10,910.00,1866.80,3387.15,1967.15,3960.85,3518.25,2449.35,2111.85,3521.65,3576.30,3416.35,2446.85,1408.35,2759.90,4679.05,3230.20,4334.70,5074.10,2818.60,3491.10,4117.60,4316.35,4193.30,2569.00,2636.00,3103.05,3291.85,4006.25,4851.65,4122.90,2800.50,3104.50,4358.35,4835.30,3989.05,2442.85,3057.85,3058.20,4757.75,3255.35,4584.85,4903.75,2954.85,4229.65,4187.25,
HORLOGERS,404.40,1112.95,1306.55,1662.95,215.80,2013.15,995.55,2097.00,2696.65,2103.35,1757.65,1767.40,1043.10,1616.90,1704.85,1598.25,2694.45,2455.15,1625.90,926.95,3342.70,3795.20,2249.30,1879.55,1668.60,2056.05,2763.70,2547.30,3006.70,2693.75,2643.55,2873.25,2302.95,3176.90,2111.70,3637.80,632.30,1413.75,1516.20,1909.75,978.65,2008.50,2161.15,1673.00,1523.50,1671.25,882.40,912.10,883.55,1236.60,1182.45,1125.40,1413.65,1340.30,1779.55,936.30,993.35,
HOT LAVAUX,3508.55,6754.40,7228.65,9911.85,7639.20,8883.95,9430.50,11497.65,9994.90,7927.35,5411.95,4958.10,2428.30,4698.50,8151.05,6471.95,8847.15,12716.20,8035.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HÔT.EDIROL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1828.55,2287.20,3520.65,3191.35,2104.95,2016.40,1511.45,881.25,1628.75,1554.20,1234.00,2606.65,2103.50,3762.35,2800.65,2219.35,2425.95,1375.80,922.00,1483.40,1070.20,1236.45,1471.10,1760.05,2705.40,2796.55,2069.90,2197.55,
HOTEL ALPE,489.95,1419.50,1289.35,2023.20,2662.40,3232.25,3280.00,5273.35,4522.80,5050.95,4237.80,3411.85,2127.50,2769.05,4074.55,4288.65,4591.75,6185.65,6037.95,8030.80,5698.70,5963.15,4808.10,1232.70,3553.90,2859.10,4189.00,3766.30,3339.85,4900.75,5216.80,5880.15,4638.80,4023.90,3313.80,3628.90,2892.95,2997.60,3358.60,3654.25,4803.60,3435.45,5855.70,5769.15,3866.10,4242.40,4648.65,3971.70,3385.00,3546.85,2525.85,4463.65,4510.60,4028.50,4714.60,5195.55,3462.35,
HOTEL PORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2544.75,1978.65,1864.85,1767.60,1550.00,998.20,1691.20,1278.20,1657.05,2062.20,2248.65,2754.15,2710.80,2646.35,1766.00,1146.10,1654.10,1040.70,1090.75,1357.15,1207.95,2127.75,2591.05,3359.60,3044.25,2596.90,
HOTEL REX,380.35,750.85,568.95,328.85,559.75,589.45,519.10,842.95,332.75,367.40,547.85,418.15,551.85,548.85,560.75,759.05,619.25,584.50,569.60,923.50,580.30,557.35,724.65,909.90,567.10,730.60,909.55,718.45,564.30,649.20,633.75,640.10,529.10,792.95,885.15,911.20,653.50,856.00,695.75,850.70,710.35,918.00,890.35,730.60,760.10,759.00,935.25,1059.50,536.00,729.45,640.30,684.00,881.45,557.05,1091.00,896.20,363.00,
HÔTELELITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6439.15,5762.05,5045.00,5932.10,4390.80,5544.95,5652.85,4626.35,4838.65,3274.65,4140.55,5068.75,4823.20,5965.90,5388.15,6070.80,4667.75,5660.15,
HOTELVILLE,,,,,,,,,,,,,,,,,,,,,187.00,187.00,187.00,187.00,93.50,187.00,187.00,187.00,187.00,93.50,187.00,93.50,187.00,,187.00,,,,,,,,,,,,,,,,,,,,,,,
INSTANT PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643.15,518.90,576.05,632.40,502.90,673.45,413.75,498.70,502.40,566.10,
INTERCITYH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,3977.50,6178.05,9810.60,5251.60,6295.20,7965.20,12052.45,12208.50,20599.65,17073.80,14292.10,21500.40,19246.05,11233.85,15093.95,12168.80,17582.45,19567.05,23605.55,25451.60,24141.95,33884.80,21869.35,27132.20,
INVENTIONS,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JETTY BOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078.75,1017.55,1899.15,1934.80,1816.90,1715.25,908.15,,1483.10,1389.05,2474.65,3184.10,3195.95,3189.00,3492.20,3272.35,2942.45,1937.30,1796.00,,227.55,4011.70,6231.00,6445.50,5514.25,7339.60,6093.40,5964.95,
JH CHEF EV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3066.50,5325.75,6795.15,3149.95,-512.25,,,,,,,,1154.60,2978.25,3706.75,2886.90,466.75,-959.05,,,,,,,335.00,5521.25,4738.25,3871.25,
KASHMIR,,,,,,294.00,426.20,465.00,437.00,351.00,426.00,422.70,402.20,481.00,480.70,422.00,461.50,472.40,388.80,371.20,356.90,435.80,329.80,293.30,433.10,379.90,383.40,377.40,396.60,374.00,435.20,440.20,419.60,482.80,315.50,514.30,462.10,415.40,414.60,483.10,375.30,375.70,372.20,296.90,372.30,316.30,,,,,,,,,,,,
LA CIGOGNE,,-5423.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA ROSE,1491.45,883.55,4439.60,3252.80,6601.00,5752.45,6396.75,8139.15,7078.30,4419.80,1489.90,-120.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA SAUGE,,,1516.30,2029.95,3217.50,1965.65,3659.05,2180.50,2185.30,576.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA SOURCE,979.30,1163.75,1823.35,4536.05,3717.70,3504.65,5168.90,5124.20,5173.90,2576.00,3331.35,644.95,1105.00,1775.05,2079.30,4089.00,3777.70,5412.60,5042.00,4147.25,4297.90,3336.90,2920.80,319.30,2624.95,1886.75,2720.80,3723.25,4257.15,4771.95,4433.00,4707.70,4701.60,5001.60,2860.35,1239.10,1314.75,1792.65,2927.20,2697.40,4085.35,5368.15,4641.65,3604.85,4312.55,4910.50,3320.10,2045.80,1608.45,2698.60,2859.20,2714.45,4547.55,5021.60,3550.75,4459.15,7485.05,
LAC BRETAY,587.85,832.50,485.35,135.25,,,,,,,,1094.20,761.85,1643.40,809.40,,,,,,,1105.80,,50.00,554.95,1125.30,326.15,,,,,,,563.75,,898.90,755.60,1183.45,1309.60,,,,,,,,,,605.70,824.60,526.70,,,,132.00,,,
L'ACCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.45,373.20,268.55,289.55,243.00,245.10,332.95,241.60,273.45,206.60,-1297.60,,,,,,,,
L'ATELIER,444.35,715.60,949.75,322.25,275.05,586.80,438.40,635.65,726.55,357.20,431.15,726.15,732.75,619.10,576.90,339.90,541.95,260.60,657.90,473.90,493.75,355.10,378.80,582.70,770.40,819.30,,688.80,,,530.00,530.35,330.30,263.85,337.60,576.90,785.30,758.55,339.50,483.10,,,864.45,520.35,324.00,582.25,347.85,760.95,605.45,608.20,551.30,,,297.70,686.10,362.30,317.65,
LE CEDRE,1057.30,1742.40,1496.50,1282.75,2380.65,2703.20,3169.90,3443.75,3846.20,3606.80,2223.55,1828.30,1982.30,2554.40,3586.45,2397.45,3716.60,3020.70,3348.20,3671.70,4381.50,2868.00,2774.20,2281.10,3543.00,3193.15,4166.95,2474.20,4602.35,5025.95,4233.00,4753.85,7213.15,2857.50,2906.75,1826.70,3601.35,3501.95,3183.35,3077.80,2856.10,3900.60,4026.75,2444.05,3911.85,3736.10,2477.10,2179.10,2635.40,2675.40,2791.75,2183.45,3119.85,3173.50,3849.05,3568.15,3527.50,
LE PETOU,503.00,455.50,,933.20,827.75,,242.50,460.00,622.25,,607.00,,470.00,710.00,742.50,,,,500.00,772.50,,,,,,762.15,,,,1108.00,,,,,,3629.85,1273.90,,,,,,,,,,,,,,,,,,,,,
LE WHITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2875.35,1733.70,3373.30,4531.15,3071.50,2641.30,2088.40,3403.20,4456.60,5738.25,3510.80,
LECHAMOIS,,,,,,,,,,,,,,4700.15,4501.90,,765.45,4257.80,3467.85,4205.45,3140.10,1719.55,957.50,727.90,3263.15,706.80,-1427.75,,,,-93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'ECU,240.75,,,,,833.65,1219.50,577.95,1063.15,1114.70,1261.55,614.20,1096.25,982.15,1489.80,463.80,1116.20,652.00,471.30,573.55,852.75,1343.90,1519.85,910.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEPICENTRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607.15,635.00,
LES NOIRET,,1045.05,646.85,,,655.40,,399.00,1544.70,,704.80,863.55,929.80,1800.55,909.65,596.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LESMAZOTS,4210.30,4481.95,5095.90,3137.45,5022.05,3182.70,4436.30,4679.70,2347.20,4056.15,2080.50,4638.50,3483.15,3804.30,4250.80,1352.15,3555.40,3207.60,2690.30,4566.05,2990.00,3349.05,2552.35,2990.45,4771.95,4293.30,3338.75,,3432.40,2817.30,3339.45,2524.60,3211.30,3168.25,2465.90,3659.75,3704.90,3875.20,2868.60,943.15,,3632.75,4170.35,1874.00,1662.40,3175.30,2733.00,3465.15,4446.65,2429.35,0.00,,,,,,,
LONGERAIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5599.00,3600.40,3871.80,4038.25,5531.70,4211.80,4585.95,2802.05,5118.85,4802.70,3698.35,2332.15,2394.90,3042.80,4218.10,4733.70,7130.90,7844.70,6550.95,5478.85,7064.85,
LS FLON,,153.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS TERREAU,,282.60,,,,,,405.80,162.70,313.45,212.10,140.00,442.50,,,,,,512.30,,,410.30,,536.20,,,243.25,,,,419.75,197.95,,215.80,,,,,,,,,,,,,,,,,,,,,,,,
MANOIR,,,,,,380.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRABEAU,3024.85,2020.60,3224.65,6121.45,7938.50,9375.05,11240.85,13348.65,14708.75,12570.50,13884.55,9357.55,5643.00,7199.75,11057.30,10821.60,17039.70,18590.90,15531.25,15829.85,17158.05,16620.20,16344.85,15673.75,12493.05,12786.15,14346.50,13885.95,18258.60,16265.60,17924.50,14811.60,16351.50,18260.30,18799.70,17916.15,13041.55,14075.80,14978.70,15910.30,18524.25,16464.10,18901.35,13544.80,17750.15,18227.90,14942.70,17489.30,11845.05,12718.00,14267.15,15312.55,17763.40,17528.85,17940.15,14151.35,20074.05,
MIRADOR,24168.10,13185.40,17410.15,18252.15,14919.35,15962.00,16054.40,18333.70,16454.10,12354.60,11988.15,10415.45,6638.30,11170.45,13967.45,12441.60,15285.30,13473.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRADOR SP,3922.70,4367.90,6671.60,6180.65,5888.65,6957.25,8010.50,8901.55,7556.00,5975.65,6919.95,5298.05,4121.30,4511.05,5897.35,5128.80,5704.35,4882.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRARGENTI,,,,,,,,,,,,,,,,,,,,,,,1132.00,381.85,1293.50,1510.95,1278.75,,787.00,1280.45,2359.40,3204.95,2737.50,3236.95,973.50,914.85,2842.15,2271.15,1674.50,523.20,2012.10,2573.00,3402.55,3273.90,2796.10,3003.00,1332.80,943.95,2659.05,2405.20,1695.55,,1952.25,2792.90,3526.25,3699.40,2299.50,
